"properties_address","properties_zip","property_latitude","property_longitude","properties_numberofunits"
"6138 SHISLER ST","19149-3242",40.038261,-75.083148,1
"6254 N BEECHWOOD ST","19138-2516",40.050307,-75.157281,1
"629 E CLEMENTINE ST","19134-2333",39.996068,-75.118742,1
"6309 N LAMBERT ST","19138-3017",40.050819,-75.154384,1
"6338 LARGE ST","19149-2745",40.038221,-75.075752,1
"6640 N BOUVIER ST","19126-2630",40.05534,-75.147131,1
"667 E LIPPINCOTT ST","19134-2306",39.996301,-75.117722,1
"707 W ROCKLAND ST","19120-3717",40.026452,-75.136736,1
"723 EDGEMORE RD","19151-3609",39.974075,-75.252435,1
"954 GRANITE ST","19124-1731",40.030858,-75.09106,1
